"Χρονική σήμανση","Διεύθυνση ηλεκτρονικού ταχυδρομείου","Ημερομηνία Αναφοράς","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νοσηλευόμενοι σε ΜΕΘ (Τρέχων Αριθμός - Μποδοσάκειο)","Συνολικοί Έλεγχοι Δειγμάτων","Συνολικά Θετικά Δείγματα","Συνολικά Αρνητικά Δείγματα","Συνολικοί Θάνατοι"
"16/05/2020 10:25:01 π.μ.","litsios.apo@gmail.com","24/04/2020","20","15","3","7","5","8","6","14","12","8","0","4","0","0","24","8","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1586","153","1315","27"
"16/05/2020 10:53:48 π.μ.","litsios.apo@gmail.com","25/04/2020","14","12","3","7","2","4","6","6","11","8","0","3","1","0","10","10","1","7","2","0","0","0","0","0","0","0","0","0","4","1","0","0","1","0","2","1","1620","153","1374","27"
"16/05/2020 4:15:30 μ.μ.","litsios.apo@gmail.com","16/05/2020","9","3","0","2","1","6","3","5","6","1","0","5","0","0","3","2","0","1","1","4","0","0","0","0","0","0","1","0","5","2","0","0","2","0","3","1","2402","153","2105","27"
"16/05/2020 4:52:22 μ.μ.","litsios.apo@gmail.com","26/04/2020","10","17","3","9","5","0","0","1","11","8","0","3","0","4","7","8","1","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1638","153","1395","27"
"17/05/2020 12:41:10 π.μ.","litsios.apo@gmail.com","27/04/2020","6","12","2","9","1","6","6","8","10","7","0","3","1","0","13","7","0","7","0","1","0","2","1","0","0","1","0","1","7","4","0","0","4","0","3","2","1674","153","1408","27"
"17/05/2020 5:41:53 μ.μ.","litsios.apo@gmail.com","17/05/2020","13","4","0","3","1","0","3","8","4","1","0","3","2","0","1","3","0","2","1","0","0","0","0","0","0","0","0","0","2","1","0","0","1","1","4","1","2426","153","2124","27"
"18/05/2020 12:00:06 π.μ.","litsios.apo@gmail.com","28/04/2020","11","8","2","5","1","4","6","15","8","5","0","3","2","0","14","6","0","5","1","2","0","0","0","0","0","0","1","0","6","3","0","0","3","1","3","3","1720","153","1447","27"
"18/05/2020 7:58:31 π.μ.","litsios.apo@gmail.com","29/04/2020","25","6","0","5","1","2","7","17","5","2","0","3","3","0","15","6","0","6","0","0","0","3","3","0","0","3","0","0","1","1","0","0","1","2","1","1","1781","153","1488","27"
"18/05/2020 5:31:56 μ.μ.","litsios.apo@gmail.com","18/05/2020","23","5","0","1","4","3","3","13","4","1","0","3","0","0","7","3","0","1","2","1","0","8","1","0","0","1","0","0","5","2","0","0","2","0","8","1","2482","153","2138","28"
"18/05/2020 5:48:53 μ.μ.","litsios.apo@gmail.com","30/04/2020","17","5","0","4","1","1","5","11","9","2","0","7","0","0","8","4","0","3","1","2","0","1","1","0","0","1","3","0","5","1","0","0","1","0","4","1","1823","153","1534","27"
